"BA Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
ERCO,"1/27/2021 9 a.m. CST",14927,1425,72,24,15048,7399,5122
ERCO,"1/27/2021 10 a.m. CST",13744,3974,72,15,14590,5983,5122
ERCO,"1/27/2021 11 a.m. CST",14179,4358,107,22,14011,4936,5124
ERCO,"1/27/2021 12 p.m. CST",13226,4414,83,25,14064,4978,5128
ERCO,"1/27/2021 1 p.m. CST",10867,4440,47,15,15069,5538,5127
ERCO,"1/27/2021 2 p.m. CST",8387,4515,47,17,16372,5985,5121
ERCO,"1/27/2021 3 p.m. CST",6828,4633,48,17,17015,6134,5102
ERCO,"1/27/2021 4 p.m. CST",5618,4722,47,17,17544,6442,5100
ERCO,"1/27/2021 5 p.m. CST",4923,4074,47,17,18545,6958,5106
ERCO,"1/27/2021 6 p.m. CST",4454,1387,47,30,21304,8447,5124
ERCO,"1/27/2021 7 p.m. CST",4606,16,47,36,23822,9771,5123
ERCO,"1/27/2021 8 p.m. CST",6680,0,47,19,22286,9878,5124
ERCO,"1/27/2021 9 p.m. CST",8557,0,47,17,20766,9492,5125
ERCO,"1/27/2021 10 p.m. CST",9185,0,47,21,19742,9135,5125
ERCO,"1/27/2021 11 p.m. CST",9460,0,47,19,18679,8336,5125
ERCO,"1/28/2021 12 a.m. CST",10346,0,47,15,17649,7146,5115
ERCO,"1/28/2021 1 a.m. CST",11112,0,66,16,16978,6359,5114
ERCO,"1/28/2021 2 a.m. CST",11902,0,45,15,16525,6003,5114
ERCO,"1/28/2021 3 a.m. CST",12420,0,43,16,16607,5769,5115
ERCO,"1/28/2021 4 a.m. CST",12446,0,43,15,17097,5962,5115
ERCO,"1/28/2021 5 a.m. CST",12040,0,43,18,18034,6821,5115
ERCO,"1/28/2021 6 a.m. CST",12010,0,44,15,20063,7767,5115
ERCO,"1/28/2021 7 a.m. CST",12248,0,68,17,22570,9236,5117
ERCO,"1/28/2021 8 a.m. CST",12023,27,68,18,24356,10050,5117
ERCO,"1/28/2021 9 a.m. CST",10673,705,68,33,24659,10025,5117
ERCO,"1/28/2021 10 a.m. CST",8427,1624,68,16,24291,9979,5118
ERCO,"1/28/2021 11 a.m. CST",7142,2715,103,18,22722,9765,5117
ERCO,"1/28/2021 12 p.m. CST",6747,3559,88,24,20125,9865,5117
ERCO,"1/28/2021 1 p.m. CST",6745,3554,43,18,18353,9538,5117
ERCO,"1/28/2021 2 p.m. CST",6937,3781,43,23,17213,8908,5117
ERCO,"1/28/2021 3 p.m. CST",8397,3739,43,31,15611,8114,5116
ERCO,"1/28/2021 4 p.m. CST",9576,2749,43,20,15422,7687,5115
ERCO,"1/28/2021 5 p.m. CST",9939,1698,43,21,15778,8120,5115
ERCO,"1/28/2021 6 p.m. CST",10185,296,43,19,16833,9171,5115
ERCO,"1/28/2021 7 p.m. CST",11123,4,43,35,18383,9738,5116
ERCO,"1/28/2021 8 p.m. CST",12810,0,86,20,17343,9857,5117
ERCO,"1/28/2021 9 p.m. CST",14043,0,114,17,16034,9708,5117
ERCO,"1/28/2021 10 p.m. CST",14807,0,88,21,14575,9650,5117
ERCO,"1/28/2021 11 p.m. CST",15732,0,61,18,12747,8569,5118
ERCO,"1/29/2021 12 a.m. CST",16072,0,44,21,11993,7270,5118
ERCO,"1/29/2021 1 a.m. CST",16485,0,68,23,10742,7185,5118
ERCO,"1/29/2021 2 a.m. CST",17014,0,44,22,10025,7012,5118
ERCO,"1/29/2021 3 a.m. CST",17447,0,43,24,10006,6667,5118
ERCO,"1/29/2021 4 a.m. CST",18065,0,43,19,9899,6626,5118
ERCO,"1/29/2021 5 a.m. CST",18052,0,43,18,10951,6850,5118
ERCO,"1/29/2021 6 a.m. CST",17967,0,43,18,12914,7561,5119
ERCO,"1/29/2021 7 a.m. CST",18063,0,67,18,15270,8768,5119
ERCO,"1/29/2021 8 a.m. CST",17821,29,68,15,16072,10007,5119
ERCO,"1/29/2021 9 a.m. CST",17120,872,68,26,15420,9769,5119
ERCO,"1/29/2021 10 a.m. CST",15191,2468,68,21,13959,9650,5119
ERCO,"1/29/2021 11 a.m. CST",15913,2797,103,24,12666,7973,5119
ERCO,"1/29/2021 12 p.m. CST",16064,3116,88,21,11415,6947,5119
ERCO,"1/29/2021 1 p.m. CST",15204,3215,57,16,10293,7231,5118
ERCO,"1/29/2021 2 p.m. CST",15547,3095,49,18,9323,6917,5120
ERCO,"1/29/2021 3 p.m. CST",15777,2656,49,20,9004,6662,5119
ERCO,"1/29/2021 4 p.m. CST",15836,1779,49,17,9208,6806,5119
ERCO,"1/29/2021 5 p.m. CST",15627,1016,49,10,9454,7366,5119
ERCO,"1/29/2021 6 p.m. CST",15151,305,49,16,10296,8322,5119
ERCO,"1/29/2021 7 p.m. CST",14935,3,49,32,10955,9627,5120
ERCO,"1/29/2021 8 p.m. CST",16680,0,49,28,9423,9284,5120
ERCO,"1/29/2021 9 p.m. CST",18633,0,49,19,7647,8585,5119
ERCO,"1/29/2021 10 p.m. CST",19512,0,49,12,7239,7201,5120
ERCO,"1/29/2021 11 p.m. CST",20311,0,49,18,5595,6720,5120
ERCO,"1/30/2021 12 a.m. CST",20588,0,49,9,4754,5791,5120
ERCO,"1/30/2021 1 a.m. CST",19941,0,74,10,4503,5436,5120
ERCO,"1/30/2021 2 a.m. CST",19511,0,52,9,4281,5172,5120
ERCO,"1/30/2021 3 a.m. CST",19315,0,50,6,3976,5122,5120
ERCO,"1/30/2021 4 a.m. CST",19345,0,50,11,3998,4853,5120
ERCO,"1/30/2021 5 a.m. CST",19263,0,50,8,4046,5014,5120
ERCO,"1/30/2021 6 a.m. CST",19450,0,50,12,4250,5126,5120
ERCO,"1/30/2021 7 a.m. CST",20537,0,74,8,4427,4995,5120
ERCO,"1/30/2021 8 a.m. CST",21568,9,74,8,4663,5066,5120
ERCO,"1/30/2021 9 a.m. CST",21315,1102,74,19,4961,5106,5119
